keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Sturmflut Nordsee',de,Hazard,#4287f5,#638ed4,1,0.1490650845721322
'Sturmflut',de,Hazard,#4287f5,#638ed4,1,0.1174966322844938
'Sturmflut Klimawandel',de,Causes,#679e2c,#477515,1,0.0299650378354093
'Sturmflut Wellen',de,Impacts,#a89216,#a89216,1,0.011848430552296164
'Sturmflut Schäden',de,Impacts,#a89216,#87830f,1,0.0087726996626426
'Sturmflut Starkregen',de,Causes,#679e2c,#477515,1,0.0025654271765062
'Sturmflut Ostsee',de,Hazard,#4287f5,#638ed4,1,0.0020883273813803
'Sturmflut Küstenschutz',de,Mitigation,#9e3215,#b55035,1,0.0018197385727348
'Sturmflut Folgen',de,Impacts,#a89216,#a89216,1,0.0017402588392703
'Sturmflut Sturmböen',de,Causes,#679e2c,#61b00c,1,0.0017040833634047
'Sturmflut Hochwasser',de,Impacts,#a89216,#a89216,1,0.0017002192735877
'Sturmflut Verletzte',de,Impacts,#a89216,#87830f,1,0.0016756663734224
'Sturmflut Warnung',de,Mitigation,#9e3215,#802d16,1,0.0016591802108561
'Sturmflut Fährausfälle',de,Impacts,#a89216,#a89216,1,0.0016581131861744
'Sturmflut Tote',de,Impacts,#a89216,#87830f,1,0.0015708413816765
'Sturmflut Pegel',de,Hazard,#4287f5,#3b4a63,1,0.0015084244260994
'Sturmflut Deiche',de,Mitigation,#9e3215,#802d16,1,0.0014993647981277
'Sturmflut Sturmtief',de,Causes,#679e2c,#7db344,1,0.0014536274938878
'Sturmflut Hurrikan',de,Causes,#679e2c,#679e2c,1,0.0012508681155084
'Sturmflut Überflutung',de,Impacts,#a89216,#a89216,1,0.001250358295702
'Sturmflut Rettungskräfte',de,Mitigation,#9e3215,#9e3215,1,0.0011426725819338
'Sturmflut Tief',de,Causes,#679e2c,#7db344,1,0.0011314045338828
'Sturmflut Sand',de,Impacts,#a89216,#a89216,1,0.0009307476381685
'Sturmflut Einsatzkräfte',de,Mitigation,#9e3215,#d64118,1,0.000547242535682
'Sturmflut Zerstörung',de,Impacts,#a89216,#a89216,1,0.0003870888329401
'Sturmflut Sandsäcke',de,Mitigation,#9e3215,#b55035,1,0.0001696324932372
'Sturmflut Sperrwerk',de,Mitigation,#9e3215,#9e3215,1,0.0001592508636442
'Sturmflut Fährverbindung',de,Impacts,#a89216,#a89216,1,4.657445545092074e-05
'Sturmflut Evakuierung',de,Mitigation,#9e3215,#802d16,1,3.950719236149776e-05
'Sturmflut Wiederaufbau',de,Mitigation,#9e3215,#802d16,1,3.720208663054634e-05
'Sturmflut Springflut',de,Causes,#679e2c,#7db344,1,8.300238269603922e-06
'Sturmflut Sturmschäden',de,Impacts,#a89216,#a89216,1,3.254219301159237e-06
