week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2024-51,-0.05908598463391622,1.1585028416883487,0.6341277423132436,1.5792438623650533,10.0
2024-52,0.2619522446732287,1.5352219978003407,0.057763295559891105,1.0385873693100403,5.0
2025-01,-0.0016693305619089355,1.0014776894303936,-0.224951466786254,0.4159355977686432,19.0
2025-02,1.5100287511036394,1.0,-0.3080272754148942,1.0,1.0
2025-03,0.46722740124510764,0.5526884985192517,-0.2738250994413465,0.048369181124462375,2.0
2025-04,0.3955312474928384,0.9356595613841653,-0.2738250994413465,0.03949327101039744,5.0
2025-05,-0.6267098353023064,1.0512931310339917,-0.32954110347633475,0.4660414978956281,2.0
2025-06,-0.19906060204841136,1.0,-0.3080272754148942,1.0,1.0
2025-07,1.5704754500796556,0.7215417368965373,0.11200842139663456,0.5940201791116974,2.0
2025-09,0.6088943667689098,1.0,-0.2396229234677988,1.0,1.0
2025-11,0.8795293062852858,0.4062598285766677,0.8772042035925478,1.6922898327402802,4.0
2025-14,0.262050794756169,0.2876369486792766,0.8101170503835905,1.5181200434891304,4.0
2025-15,-1.1512364149434315,1.0,-0.6590822069526695,1.0,1.0
2025-16,0.4185036882890695,1.0,1.4999999999999998,1.0,1.0
2025-22,1.922309077521897,1.0,-0.3080272754148942,1.0,1.0
2025-26,0.7071067811865477,1.0,0.7071067811865474,1.0,1.0
2025-27,-0.768249050869698,0.07737513207008528,-0.019237171015116017,0.9048775276399885,2.0
2025-30,-0.6,1.0,0.2,1.0,1.0
2025-32,-1.0167030585233259,1.0,2.7100276695869034,1.0,1.0
2025-37,0.027561120888642595,1.0,-0.2396229234677988,1.0,1.0
2025-39,-0.10875776594110224,0.9945904988826542,-0.28955274058843106,0.2924430906529063,42.0
2025-40,0.12582439629887587,0.5794366482855252,0.10971388718523808,0.5907752177106115,2.0
2025-41,-0.25,1.0,0.0,1.0,1.0
2025-42,0.05994854839090115,0.7891077761857932,0.4348934161209581,1.6770471808033525,21.0
2025-43,-0.6274006557314884,0.8382730143014052,-0.07886657536324976,0.8616778695888359,14.0
2025-44,-0.38271274745290806,1.0,-0.3080272754148942,1.0,1.0
2025-48,1.3000521305581076,1.0,,1.0,1.0
2025-49,-0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
2025-52,0.5375191441376012,0.5566069482013448,-0.3786899203125642,0.18968911652715467,5.0
2026-00,-0.06728555045648664,0.899997509193103,-0.3212489732822621,0.09566913665649639,9.0
2026-01,-0.1790585038009834,1.0011648694610586,-0.0960493016245853,0.8154028512510401,13.0
