day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2024-12-19,-0.6834295334988896,1.47839126151052,1.2794559587005723,1.9797613264101672,4.0
2024-12-20,0.5706711751192148,0.9863410921726457,-0.31552485591826557,0.04265661640906372,4.0
2024-12-22,0.016560076016479606,0.04525383674342747,0.29146153962224797,0.7887504298454621,2.0
2024-12-23,0.5135607407586223,1.5404200933924335,0.20634205354408658,1.222442194895417,4.0
2024-12-27,-1.3927816473318477,1.0,-0.5,1.0,1.0
2025-01-07,0.11920665676128306,1.1224619363997563,-0.18786251383933322,0.6231327749515555,10.0
2025-01-08,-0.7425172332771368,0.5809070042422874,-0.30321095143501986,0.052243472177919074,2.0
2025-01-10,-0.24494231039472195,1.0245956312142976,-0.31552485591826557,0.04265661640906372,3.0
2025-01-11,-0.03795327894160882,0.2832155927943866,-0.20214063429001325,0.1789142733712969,3.0
2025-01-12,0.7792673158337482,1.0,-0.5959334972843141,1.0,1.0
2025-01-13,1.497372026818634,1.0,-0.34015266488475715,1.0,1.0
2025-01-26,0.4546247444357802,0.4846224488326455,-0.30321095143501986,0.05224347217791911,2.0
2025-01-29,-0.38981181555356115,0.6199504771689879,-0.30321095143501986,0.052243472177919074,2.0
2025-02-01,1.1234832631076443,0.8030462693543498,-0.30321095143501986,0.052243472177919074,2.0
2025-02-02,0.46263477989161306,1.0,,1.0,1.0
2025-02-03,0.11666666666666665,1.0,0.0,1.0,1.0
2025-02-04,-1.4484165842592351,1.0,-0.6976487334773631,1.0,1.0
2025-02-16,-0.15427440098279732,1.0,-0.34015266488475715,1.0,1.0
2025-02-19,1.5282861264305723,0.6583982911612979,0.04654948829141059,0.5468794296206144,2.0
2025-03-09,0.5534814293785499,1.0,-0.2662692379852825,1.0,1.0
2025-03-17,1.2655620018640468,1.0,2.9900132850359427,1.0,1.0
2025-03-18,0.8390229390086158,0.4007586210564575,-0.30321095143501986,0.052243472177919074,2.0
2025-03-19,0.4181107524335846,1.0,0.6728281420951935,1.0,1.0
2025-04-11,0.256324665046894,0.30631428950262224,0.7039510877200864,1.3675878643932204,4.0
2025-04-20,-1.240387392294478,1.0,-0.6976487334773631,1.0,1.0
2025-04-25,0.4185036882890695,1.0,1.4999999999999998,1.0,1.0
2025-06-08,1.89579550720933,1.0,-0.34015266488475715,1.0,1.0
2025-07-06,0.7071067811865477,1.0,0.7071067811865474,1.0,1.0
2025-07-07,-0.9283436043473423,1.0,0.6650374404266685,1.0,1.0
2025-07-12,-0.8243290083649636,1.0,-0.6976487334773631,1.0,1.0
2025-07-31,-0.6,1.0,0.2,1.0,1.0
2025-08-15,-1.4779612054172744,1.0,2.5759706011644545,1.0,1.0
2025-09-16,-0.015439218819506904,1.0,-0.2662692379852825,1.0,1.0
2025-10-01,1.0680661255941275,0.7246746018948392,-0.04196053831464905,0.4217073495883214,2.0
2025-10-02,-1.4046850226293923,0.33409630448438976,-0.30321095143501986,0.05224347217791911,2.0
2025-10-03,0.5922429621063483,0.7031473564738916,-0.43469021211580094,0.23070560929482592,3.0
2025-10-04,0.021448977086169774,0.8694365860878674,-0.4402148636707694,0.17794842647654063,15.0
2025-10-05,-0.2541854901292666,0.9643016929722525,-0.2624490114512638,0.3405346454089171,20.0
2025-10-06,0.5556438004406248,1.0,-0.34015266488475715,1.0,1.0
2025-10-07,-0.5750697969168653,1.0,0.4613678688652754,1.0,1.0
2025-10-17,-0.25,1.0,0.0,1.0,1.0
2025-10-20,-0.11313513688803149,0.18968529899346762,0.2012300023727472,0.8744979804596874,3.0
2025-10-22,0.46263477989161306,1.0,,1.0,1.0
2025-10-23,-0.34814516981115795,1.000008849678479,-0.31202872072302373,0.29896053330295563,3.0
2025-10-24,0.33976560153068136,0.8777097122122598,0.15396961294114508,1.4887002752373186,10.0
2025-10-25,-0.08485680990115212,0.09817129877493226,3.047605702075454,2.436230902932592,2.0
2025-10-26,-0.5919412394893108,0.8152969763667309,-0.30321095143501986,0.052243472177919074,2.0
2025-10-28,0.03414605738807909,1.0,-0.5,1.0,2.0
2025-10-29,-0.7869952054195952,0.912594734846427,-0.4082482904638631,0.0,3.0
2025-10-30,-0.7078639078096688,0.6518641396246672,0.2736667211411296,1.1788977546250263,8.0
2025-10-31,0.9401319016546991,1.0,-0.5,1.0,1.0
2025-11-03,-0.3317539513386529,1.0,-0.34015266488475715,1.0,1.0
2025-12-04,1.3000521305581076,1.0,,1.0,1.0
2025-12-11,-0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
